window,kind,q,split,lag,placebo,placebo_definition,K_x,T,kappa_A,kappa_B,F_conv,F_eff_MOP,rho_naive,rho_ols_proxy,rho_2sls,ar_lo,ar_hi,ar_empty,ar_frac_bounded,hac_ar_frac_bounded,ar_projection,conn_naive,conn_2sls,systemic_rank_preserved,seconds,K_y,incompat,median_radius_ratio,J_n,J_rej05,J_rej10,J_pmin,placebo_F_med,placebo_F_max,placebo_F_ge10,delta_rho
Terra_Luna,shock,0.95,S1,1,False,,18,5700,0.465395656621057,0.4695542798887067,9478.977992413096,4338.515167094833,1.7862748878777837,1.6397807297888196,1.6239651925633445,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2482851659879088,18,17,1.7475041118243528,18,0,1,0.090167505283556,2.807719950494799,3.771098914140996,0,0.16230969531443917
Terra_Luna,shock,0.97,S1,1,False,,18,5700,0.4913437995444092,0.496155334667037,10266.58361423519,4404.821526322569,2.004961718286121,1.928570292703322,1.9151856550703243,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2455413750139996,18,18,3.5626733194046123,18,0,0,0.165557175837988,4.917073563544963,4.96677167676626,0,0.08977606321579668
FTX_collapse,shock,0.95,S1,1,False,,18,4260,0.5127582803498877,0.5977766035796344,4182.702120120003,1397.2275781641838,1.8357691177073376,1.5635347477865729,1.4646534249906784,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2040159999742172,18,15,1.3491336389899051,18,1,5,0.0085394111726736,13.135564720659785,26.7717796500894,2,0.37111569271665923
FTX_collapse,shock,0.97,S1,1,False,,18,4260,0.5253016125550086,0.6031953783244283,4290.007208831611,1444.1608914878675,1.866592616851592,1.6515520895249316,1.584041109239129,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2043030000058934,18,17,1.9104870276416746,18,0,4,0.0608904333059491,14.361497185563929,27.63608612342778,2,0.28255150761246295
Banking_crypto,shock,0.95,S1,1,False,,18,5700,0.6103074525599098,0.5759112283707668,3055.7051673488963,1743.4429733757684,1.4760680966662008,1.3752877839635262,1.3141849469059712,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2450944160227663,18,3,0.6232838505207312,18,3,6,0.0156500608208565,0.4729274343001334,2.803001766965929,0,0.16188314976022955
Banking_crypto,shock,0.97,S1,1,False,,18,5700,0.6235638583797304,0.5863597014177605,3182.116033336263,1822.8277206654573,1.6134881880838778,1.5054576618196769,1.4388347124069598,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2432933329837396,18,8,0.885633245827768,18,2,3,0.005148715996896,1.1268391007880525,3.842943602279582,0,0.17465347567691802
Control_2022_Aug_A,control,0.95,S1,1,False,,18,4260,0.6628742632988346,0.6614890611284375,2269.1697258027125,666.9716509365858,1.6020433783659296,1.4945785745184674,1.390698020873478,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2038551250007003,18,3,0.5221956463998989,18,1,3,0.0175888749348274,12.665102140608738,18.47269775732905,2,0.21134535749245154
Control_2022_Aug_A,control,0.97,S1,1,False,,18,4260,0.6661938832982547,0.6712342219077635,2296.496374017375,685.6807820692894,1.6661723652857376,1.5907683567201756,1.552927989380619,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.203535916050896,18,2,0.5945969616368889,18,1,2,0.0105480625664283,12.23844170692426,17.688347095373544,2,0.11324437590511871
Control_2022_Aug_B,control,0.95,S1,1,False,,18,4260,0.7325516838678421,0.6995121153886088,2118.7993711205336,1181.149100440395,1.4176992456116335,1.3369182766526695,1.2838213531486398,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2073973340447992,18,2,0.577137552338105,18,5,7,0.0082188209732581,1.9398633430826324,6.469900697132154,0,0.13387789246299375
Control_2022_Aug_B,control,0.97,S1,1,False,,18,4260,0.7371593517176365,0.7054091712579165,2149.178913407656,1240.9789897156,1.354685576611453,1.295559537035225,1.2663267040530848,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2022872499655932,18,1,0.5112127104470859,18,2,4,0.0122564001688975,2.738492032596196,6.806801720336507,0,0.08835887255836816
